0.0;0.0;0.0;0.0;1;1701;68.0;1.0805202E7;0;2953358.4676635996;2953358.4676635996;0.0;0.0;1;119;0.0;424.0;490;52;3333;3896;605 
2953358.4676635996;2953358.4676635996;0.0;0.0;1;119;0.0;392.0;448;52;3333;3896;596 
2953358.4676635996;2953358.4676635996;0.0;0.0;1;119;0.0;381.0;441;52;3333;3896;554 
2953358.4676635996;2953358.4676635996;0.0;0.0;1;119;52;3333;3896;0.0;411.0;466;598 
3484968.04951;3484968.04951;0.0;0.0;1;309;12;35939;9290;1.0;1547.0;1604;1733 
3484968.04951;3484968.04951;0.0;0.0;1;177;76;163099;31002;0.0;4557.0;4656;4793 
2810225.1716904;2818464.3106718673;2806576.997951;2810225.1716904;5;293;152;1070725;150426;0.0;47549.0;34378;47920 
2810225.1716904007;2818464.3106718673;0.0;2810225.1716904007;3;1172;44;491942;95805;2.0;23952.0;11739;24384 
2810225.1716904007;2818464.310671867;0.0;2810225.1716904007;3;1502;44;493348;96708;3.0;23264.0;11070;23755 
1971800.2996292;1999725.9956854;1949256.6792447998;1971800.2996292;35;847;200;28438;35231;2.0;1438.0;576;3336 
1971800.2996292;1999725.9956854;1949256.6792447998;1971800.2996292;35;847;200;28438;35231;1.0;1374.0;515;3261 
1971800.2996292;1999725.9956854;1949256.6792447998;1971800.2996292;35;847;200;28536;35186;2.0;1401.0;526;3286 
1971800.2996292;1999725.9956854;1949256.6792447998;1971800.2996292;35;847;200;28536;35186;1.0;1356.0;545;3165 
1971800.2996292;1999725.9956854;1949256.6792447998;1971800.2996292;35;847;200;28536;35186;6;0;2.0;1428.0;509;3228 
5069526.2204044005;5089163.276414667;5043911.000662667;5069526.2204044005;5;493;240;1395226;420379;16;0;0.0;39671.0;28357;40113 
5069526.220404401;5089163.276414668;5064717.610474001;5069526.220404401;7;3540;88;705874;302496;16;0;15.0;22768.0;6214;25024 
5069526.220404401;5089163.276414668;5064717.610474001;5069526.220404401;7;3540;88;705874;302496;16;0;14.0;20292.0;5746;22591 
5069526.220404401;5089163.276414668;5064717.610474001;5069526.220404401;7;3540;88;705874;302496;16;0;15.0;20435.0;5670;22772 
5069526.220404401;5089163.276414668;5064717.610474001;5069526.220404401;7;3540;88;705874;302496;16;0;17.0;20121.0;5638;22379 
5069526.220404401;5089163.276414668;5064717.610474001;5069526.220404401;7;3540;88;705874;302496;16;0;13.0;20947.0;5671;23203 
5069526.220404401;5089163.276414668;5064717.610474001;5069526.220404401;7;3540;88;705874;302496;16;0;14.0;20285.0;5607;22560 
5069526.220404401;5089163.276414668;5064717.610474001;5069526.220404401;7;3540;88;705874;302496;16;0;12.0;19253.0;5266;21416 
5069526.220404401;5089163.276414668;5064717.610474001;5069526.220404401;7;3540;88;705874;302496;16;0;14.0;19606.0;5344;21665 
5069526.220404401;5089163.276414668;5064717.610474001;5069526.220404401;7;3540;88;705874;302496;16;0;13.0;20081.0;5853;22262 
5069526.220404401;5089163.276414668;5064717.610474001;5069526.220404401;7;3540;88;705874;302496;16;0;12.0;21806.0;6048;24035 
5069526.220404401;5089163.276414668;5064717.610474001;5069526.220404401;7;3540;88;705874;302496;16;0;12.0;18995.0;5529;21198 
1971800.2996292;1999725.9956854;1949256.6792447998;1971800.2996292;35;847;200;28536;35186;6;0;1.0;1316.0;501;3045 
1971800.2996292;1999725.9956854;1949256.6792447998;1971800.2996292;35;847;200;28536;35186;6;0;1.0;1255.0;459;2940 
1971800.2996292;1999725.9956854;1949256.6792447998;1971800.2996292;35;847;200;28536;35186;6;0;1.0;1275.0;494;2990 
1971800.2996292;1999725.9956854;1949256.6792447998;1971800.2996292;35;847;200;28536;35186;6;0;0.0;1305.0;452;3012 
5069526.220404401;5089163.276414668;5064717.610474001;5069526.220404401;7;3540;88;705874;302496;16;0;12.0;18881.0;5251;21066 
1971800.2996292;1999725.9956854;1949256.6792447998;1971800.2996292;35;847;200;28536;35186;6;0;1.0;1252.0;452;3037 
1971800.2996292;1999725.9956854;1949256.6792447998;1971800.2996292;35;847;200;28536;35186;6;0;1.0;1283.0;473;2952 
1971800.2996292;1999725.9956854;1949256.6792447998;1971800.2996292;35;847;200;28536;35186;6;0;1.0;1326.0;500;3095 
1971800.2996292;1999725.9956854;1949256.6792447998;1971800.2996292;35;847;200;28536;35186;6;0;0.0;1342.0;524;3092 
1971800.2996292;1999725.9956854;1949256.6792447998;1971800.2996292;35;847;200;28536;35186;6;0;1.0;1383.0;573;3162 
1971800.2996292;1999725.9956854;1949256.6792447998;1971800.2996292;35;847;200;28536;35186;6;0;1.0;1253.0;489;3014 
1971800.2996292;1999725.9956854;1949256.6792447998;1971800.2996292;35;847;200;28536;35186;6;0;1.0;1283.0;542;3125 
1971800.2996292;1999725.9956854;1949256.6792447998;1971800.2996292;35;847;200;28536;35186;6;0;1.0;1286.0;542;3084 
1971800.2996292;1999725.9956854;1949256.6792447998;1971800.2996292;35;847;200;28536;35186;6;0;1.0;1349.0;578;3240 
1971800.2996292;1999725.9956854;1949256.6792447998;1971800.2996292;35;847;200;28536;35186;6;0;1.0;1356.0;538;3284 
1971800.2996292;1999725.9956854;1949256.6792447998;1971800.2996292;35;847;200;28536;35186;6;0;1.0;1258.0;512;2981 
1971800.2996292;1999725.9956854;1949256.6792447998;1971800.2996292;35;847;200;28536;35186;6;0;1.0;1366.0;545;3072 
1971800.2996292;1999725.9956854;1949256.6792447998;1971800.2996292;35;847;200;28536;35186;6;0;1.0;1287.0;498;3026 
